                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    108,                0.16264,                0.15308,                0.77817,                0.99819,                0.99481,                0.99479,                0.99465,                0.10214,                0.08603,                0.74376,               0.002938,               0.002938,               0.002938
                    109,                0.16351,                0.15285,                0.77907,                0.99829,                0.99531,                0.99487,                0.99472,                0.10303,                0.08698,                0.74379,               0.002872,               0.002872,               0.002872
                    110,                0.16288,                0.15228,                0.77897,                0.99826,                0.99482,                 0.9948,                0.99465,                0.10249,                0.08751,                0.74369,               0.002806,               0.002806,               0.002806
                    111,                0.16137,                0.15075,                0.77952,                0.99811,                0.99474,                 0.9948,                0.99473,                0.10135,                0.08646,                0.74347,                0.00274,                0.00274,                0.00274
                    112,                0.16162,                0.15124,                0.77921,                0.99792,                0.99532,                0.99476,                0.99469,                0.10171,                0.08561,                0.74364,               0.002674,               0.002674,               0.002674
                    113,                0.16177,                0.14803,                0.77823,                0.99824,                0.99506,                0.99477,                0.99467,                    inf,                0.08559,                0.74371,               0.002608,               0.002608,               0.002608
                    114,                0.16192,                0.14717,                0.77787,                0.99818,                0.99506,                0.99471,                0.99461,                0.10179,                0.08576,                0.74358,               0.002542,               0.002542,               0.002542
                    115,                0.16056,                0.14714,                0.77852,                0.99827,                0.99497,                0.99481,                0.99469,                    inf,                0.08545,                0.74352,               0.002476,               0.002476,               0.002476
                    116,                0.16008,                0.14661,                0.77754,                0.99808,                 0.9951,                0.99473,                0.99463,                0.10107,                 0.0843,                0.74342,                0.00241,                0.00241,                0.00241
                    117,                0.15992,                0.14612,                0.77782,                0.99831,                0.99498,                0.99475,                0.99466,                0.10023,                0.08422,                0.74323,               0.002344,               0.002344,               0.002344
                    118,                0.15999,                0.14614,                0.77797,                0.99798,                 0.9952,                0.99475,                0.99467,                0.10012,                0.08424,                0.74323,               0.002278,               0.002278,               0.002278
                    119,                0.15853,                0.14564,                0.77817,                0.99823,                0.99536,                0.99475,                0.99465,                0.09991,                0.08415,                0.74304,               0.002212,               0.002212,               0.002212
                    120,                0.15884,                0.14357,                0.77811,                0.99832,                 0.9953,                0.99475,                0.99467,                0.09987,                0.08365,                0.74317,               0.002146,               0.002146,               0.002146
                    121,                0.15791,                0.14305,                0.77809,                0.99829,                0.99509,                 0.9948,                0.99472,                0.10025,                0.08375,                0.74329,                0.00208,                0.00208,                0.00208
                    122,                0.15794,                0.14367,                0.77823,                 0.9982,                0.99514,                0.99485,                0.99475,                0.10001,                0.08361,                0.74325,               0.002014,               0.002014,               0.002014
                    123,                0.15646,                 0.1414,                0.77867,                0.99831,                0.99535,                0.99481,                 0.9947,                0.09952,                0.08361,                0.74314,               0.001948,               0.001948,               0.001948
                    124,                0.15754,                0.14281,                0.77777,                0.99851,                0.99518,                0.99482,                 0.9947,                0.09933,                0.08366,                0.74313,               0.001882,               0.001882,               0.001882
                    125,                0.15648,                0.14019,                0.77782,                0.99838,                0.99522,                0.99473,                0.99464,                0.09903,                0.08353,                0.74307,               0.001816,               0.001816,               0.001816
                    126,                0.15601,                 0.1387,                0.77675,                0.99824,                0.99545,                0.99473,                0.99466,                0.09884,                0.08264,                0.74304,                0.00175,                0.00175,                0.00175
                    127,                0.15573,                0.13685,                0.77754,                0.99826,                0.99546,                0.99471,                0.99461,                0.09844,                  0.082,                0.74305,               0.001684,               0.001684,               0.001684
                    128,                0.15528,                 0.1358,                0.77655,                0.99843,                0.99535,                0.99471,                 0.9946,                0.09827,                0.08155,                0.74304,               0.001618,               0.001618,               0.001618
                    129,                0.15582,                0.13774,                0.77781,                0.99838,                0.99526,                0.99469,                 0.9946,                0.09779,                0.08159,                0.74304,               0.001552,               0.001552,               0.001552
                    130,                0.15447,                0.13504,                0.77773,                0.99812,                0.99546,                0.99468,                 0.9946,                0.09773,                0.08156,                0.74297,               0.001486,               0.001486,               0.001486
                    131,                 0.1462,                0.11894,                0.77521,                0.99833,                 0.9956,                 0.9947,                0.99463,                0.09771,                0.08181,                0.74296,                0.00142,                0.00142,                0.00142
                    132,                0.14394,                0.11775,                0.77343,                0.99844,                0.99549,                0.99475,                0.99466,                0.09736,                0.08159,                0.74293,               0.001354,               0.001354,               0.001354
                    133,                0.14302,                 0.1162,                0.77237,                0.99851,                0.99567,                0.99479,                0.99469,                0.09656,                0.08062,                0.74284,               0.001288,               0.001288,               0.001288
                    134,                0.14288,                 0.1171,                0.77243,                0.99852,                0.99554,                0.99479,                0.99472,                0.09609,                0.08013,                 0.7428,               0.001222,               0.001222,               0.001222
                    135,                0.14235,                0.11382,                0.77237,                 0.9984,                0.99557,                0.99477,                0.99469,                0.09546,                0.08013,                0.74279,               0.001156,               0.001156,               0.001156
                    136,                0.14111,                0.11324,                0.77235,                 0.9985,                0.99556,                0.99476,                 0.9947,                0.09519,                0.08009,                0.74279,                0.00109,                0.00109,                0.00109
                    137,                 0.1412,                0.11281,                0.77244,                0.99849,                 0.9954,                0.99479,                0.99471,                0.09506,                0.08025,                0.74276,               0.001024,               0.001024,               0.001024
                    138,                0.14077,                0.11298,                0.77335,                0.99842,                 0.9953,                0.99477,                0.99467,                0.09467,                0.08017,                 0.7427,               0.000958,               0.000958,               0.000958
                    139,                0.14017,                0.11067,                0.77232,                0.99843,                 0.9954,                0.99481,                0.99472,                0.09428,                0.08007,                0.74268,               0.000892,               0.000892,               0.000892
                    140,                0.13973,                0.11059,                0.77258,                0.99856,                0.99529,                0.99482,                0.99472,                 0.0941,                0.07987,                0.74266,               0.000826,               0.000826,               0.000826
                    141,                0.13861,                0.10954,                0.77269,                0.99854,                0.99525,                0.99481,                0.99473,                0.09381,                0.07978,                 0.7426,                0.00076,                0.00076,                0.00076
                    142,                  0.138,                0.10712,                0.77096,                0.99853,                0.99532,                0.99484,                0.99475,                0.09337,                0.07942,                0.74251,               0.000694,               0.000694,               0.000694
                    143,                0.13814,                0.10839,                0.77204,                0.99852,                0.99532,                0.99484,                0.99478,                0.09314,                0.07903,                0.74245,               0.000628,               0.000628,               0.000628
                    144,                0.13761,                0.10702,                0.77166,                0.99859,                0.99533,                0.99484,                0.99475,                0.09303,                0.07872,                0.74244,               0.000562,               0.000562,               0.000562
                    145,                0.13702,                0.10435,                0.77196,                0.99857,                0.99546,                0.99478,                0.99468,                0.09285,                0.07888,                0.74242,               0.000496,               0.000496,               0.000496
                    146,                0.13772,                0.10701,                0.77306,                0.99855,                0.99554,                0.99478,                 0.9947,                0.09273,                0.07888,                0.74239,                0.00043,                0.00043,                0.00043
                    147,                0.13648,                0.10499,                0.77249,                0.99851,                0.99574,                0.99478,                 0.9947,                 0.0924,                0.07844,                0.74235,               0.000364,               0.000364,               0.000364
                    148,                0.13548,                0.10314,                0.77187,                0.99856,                0.99572,                0.99476,                0.99467,                0.09217,                0.07826,                0.74231,               0.000298,               0.000298,               0.000298
                    149,                0.13525,                0.10218,                0.77149,                0.99858,                0.99565,                0.99476,                0.99469,                0.09201,                0.07836,                0.74229,               0.000232,               0.000232,               0.000232
                    150,                0.13447,                0.10185,                0.77088,                0.99857,                0.99572,                0.99484,                0.99477,                0.09192,                0.07817,                0.74226,               0.000166,               0.000166,               0.000166
